generation,fitness,p_health,e_health,time
1,-5.771441123130016,0,100.0,321
1,21.742504627972217,0,70.0,192
1,-5.811140992976701,0,100.0,334
1,-5.393627546352362,0,100.0,220
1,11.365366642138314,0,80.0,761
1,-5.14166355650266,0,100.0,171
1,-5.783825182329737,0,100.0,325
1,-5.805134968916488,0,100.0,332
1,75.36164533066625,0,10.0,281
1,-5.945420608606575,0,100.0,382
1,-5.780743515792329,0,100.0,324
1,20.26184750540404,0,70.0,844
1,-5.7899601708972535,0,100.0,327
1,21.55326262833369,0,70.0,232
1,3.1166776115117214,0,90.0,359
1,-5.82600010738045,0,100.0,339
1,-5.726847747587197,0,100.0,307
1,12.228558876869984,0,80.0,321
1,-5.7745515455444085,0,100.0,322
1,-5.41610040220442,0,100.0,225
1,90.32482618476618,54,0.0,160
1,-5.8916442118257715,0,100.0,362
1,-5.8888779583328805,0,100.0,361
1,-5.796057750765372,0,100.0,329
1,85.07853908213775,6,0.0,250
1,-5.8916442118257715,0,100.0,362
1,39.19486503108351,0,50.0,332
1,-5.771441123130016,0,100.0,321
1,-5.8944028342648505,0,100.0,363
1,-5.43372200355424,0,100.0,229
1,29.851531704082355,0,60.0,468
1,12.197881624622937,0,80.0,331
1,86.80704314910979,20,0.0,180
1,-5.707110264748875,0,100.0,301
1,3.219256484207671,0,90.0,324
1,-5.726847747587197,0,100.0,307
1,-5.752572638825633,0,100.0,315
1,87.29466846406764,28,0.0,246
1,48.13070308686623,0,40.0,354
1,21.519361076658008,0,70.0,240
1,47.285829470090526,0,40.0,824
1,66.62472159231584,0,20.0,216
1,-5.84354441703136,0,100.0,345
1,21.498741789455273,0,70.0,245
1,-5.811140992976701,0,100.0,334
1,-5.645446897643238,0,100.0,283
1,-6.169610732491456,0,100.0,478
1,-5.840641657373398,0,100.0,344
1,21.269900217026425,0,70.0,308
1,20.417974861107176,0,70.0,722
1,-5.805134968916488,0,100.0,332
1,-5.8916442118257715,0,100.0,362
1,21.228558876869982,0,70.0,321
1,39.21310261863329,0,50.0,326
1,-5.817111159963204,0,100.0,336
1,75.21617481767026,0,10.0,325
1,-5.783825182329737,0,100.0,325
1,56.52149035779143,0,30.0,651
1,12.225448454455591,0,80.0,322
1,20.95499468596399,0,70.0,422
1,-5.793013608384144,0,100.0,328
1,3.56627799644576,0,90.0,229
1,-5.8888779583328805,0,100.0,361
1,-5.707110264748875,0,100.0,301
1,-5.765191102784844,0,100.0,319
1,-5.765191102784844,0,100.0,319
1,-5.814130531825066,0,100.0,335
1,-5.771441123130016,0,100.0,321
1,-5.402677381872279,0,100.0,222
1,-5.768320995793772,0,100.0,320
1,-5.796057750765372,0,100.0,329
1,-5.8805329864007,0,100.0,358
1,-5.8971538676367405,0,100.0,364
1,75.18586946817493,0,10.0,335
1,3.194865031083512,0,90.0,332
1,48.15356122494227,0,40.0,346
1,-5.768320995793772,0,100.0,320
1,-5.37989735354046,0,100.0,217
1,-5.771441123130016,0,100.0,321
1,-5.82600010738045,0,100.0,339
1,29.50776016497953,0,60.0,660
1,21.210039829102747,0,70.0,327
1,12.12506926914797,0,80.0,356
1,-5.777652323222656,0,100.0,323
1,-5.886104031450156,0,100.0,360
1,-5.8944028342648505,0,100.0,363
1,30.768891383145412,0,60.0,187
1,21.216174817670264,0,70.0,325
1,57.22855887686998,0,30.0,321
1,21.228558876869982,0,70.0,321
1,12.33011907701948,0,80.0,290
1,86.5446788846423,20,0.0,234
1,-5.863631175598097,0,100.0,352
1,-5.75890177387728,0,100.0,317
1,22.002787726235887,0,70.0,148
1,-5.808142489980444,0,100.0,333
1,-5.66988092298052,0,100.0,290
1,-5.783825182329737,0,100.0,325
1,12.142066845516542,0,80.0,350
1,-5.802118375377063,0,100.0,331
2,-6.150602768446279,0,100.0,469
2,-5.407171771460119,0,100.0,223
2,-5.908082938168931,0,100.0,368
2,-6.48768401848461,0,100.0,657
2,-5.407171771460119,0,100.0,223
2,-5.402677381872279,0,100.0,222
2,-5.8971538676367405,0,100.0,364
2,-5.402677381872279,0,100.0,222
2,-5.8944028342648505,0,100.0,363
2,-5.641907070938114,0,100.0,282
2,-5.87493073085203,0,100.0,356
2,-5.6937321388027,0,100.0,297
2,-5.8916442118257715,0,100.0,362
2,30.11112204166712,0,60.0,361
2,-5.831882477283517,0,100.0,341
2,-5.840641657373398,0,100.0,344
2,-5.8888779583328805,0,100.0,361
2,-5.262690188904886,0,100.0,193
2,-5.8998973535824915,0,100.0,365
2,-5.82600010738045,0,100.0,339
2,3.6769900208615915,0,90.0,205
2,-5.8377304471659395,0,100.0,343
2,-5.8998973535824915,0,100.0,365
2,-5.918893854273146,0,100.0,372
2,-5.886104031450156,0,100.0,360
2,-5.84354441703136,0,100.0,345
2,-5.84354441703136,0,100.0,345
2,-5.71042701737487,0,100.0,302
2,30.15067522005314,0,60.0,347
2,30.179917069647637,0,60.0,337
2,-5.82600010738045,0,100.0,339
2,21.247427361174367,0,70.0,315
2,-5.82600010738045,0,100.0,339
2,-5.267858159063328,0,100.0,194
2,-5.921578419643816,0,100.0,373
2,-5.802118375377063,0,100.0,331
2,-5.814130531825066,0,100.0,335
2,-5.924255797414532,0,100.0,374
2,-5.823045895483019,0,100.0,338
2,-5.429345628954441,0,100.0,228
2,-5.823045895483019,0,100.0,338
2,-5.783825182329737,0,100.0,325
2,-5.808142489980444,0,100.0,333
2,-5.805134968916488,0,100.0,332
2,-5.799092654460526,0,100.0,330
2,-5.786897381366708,0,100.0,326
2,-5.746203190540153,0,100.0,313
2,-5.749392985908253,0,100.0,314
2,-5.768320995793772,0,100.0,320
2,12.219256484207671,0,80.0,324
2,-5.796057750765372,0,100.0,329
2,-5.811140992976701,0,100.0,334
2,-5.8289456176102075,0,100.0,340
2,-5.953243334287785,0,100.0,385
2,-5.814130531825066,0,100.0,335
2,-5.7745515455444085,0,100.0,322
2,-5.752572638825633,0,100.0,315
2,-5.796057750765372,0,100.0,329
2,-5.796057750765372,0,100.0,329
2,3.065105804380412,0,90.0,378
2,-5.805134968916488,0,100.0,332
2,-5.783825182329737,0,100.0,325
2,-5.958424693029782,0,100.0,387
2,-5.7745515455444085,0,100.0,322
2,-5.793013608384144,0,100.0,328
2,-5.7745515455444085,0,100.0,322
2,-5.402677381872279,0,100.0,222
2,21.216174817670264,0,70.0,325
2,-5.771441123130016,0,100.0,321
2,3.263427702520808,0,90.0,310
2,-5.814130531825066,0,100.0,335
2,-5.780743515792329,0,100.0,324
2,-5.814130531825066,0,100.0,335
2,-5.805134968916488,0,100.0,332
