generation,fitness,p_health,e_health,time
0,4.292400000000001,0.0,100.0,207.0
0,13.987600000000002,43.50000000000024,15.0,374.0
0,7.843050000000001,0.0,65.0,274.5
0,4.7965,0.0,97.5,219.0
0,6.8413,0.0,100.0,258.0
0,12.015925000000003,0.0,85.0,342.25
0,3.5744,0.0,95.0,188.0
0,4.840000000000001,0.0,100.0,220.0
0,3.8794500000000003,0.0,100.0,196.5
0,3.8671750000000005,0.0,100.0,196.25
0,3.5292250000000003,0.0,100.0,187.75
0,6.2391000000000005,0.0,92.5,244.5
0,5.370975,0.0,90.0,231.75
0,3.816475,0.0,100.0,195.25
0,3.79625,0.0,100.0,194.5
0,3.985825,0.0,100.0,199.25
0,28.961100000000002,34.50000000000023,7.5,529.5
0,26.525699999999997,0.0,57.5,514.5
0,4.722025,0.0,100.0,217.25
0,14.6149,0.0,70.0,382.0
0,27.344575000000003,0.0,80.0,493.25
0,40.1413,0.0,57.5,633.5
0,14.023900000000001,0.0,87.5,374.0
0,3.6362500000000004,0.0,90.0,190.5
0,8.8804,0.0,100.0,298.0
0,5.2105000000000015,0.0,100.0,227.0
0,8.732700000000001,0.0,90.0,295.5
0,3.9510750000000003,0.0,100.0,198.75
0,4.5796,0.0,100.0,214.0
0,9.873800000000001,0.0,90.0,307.0
0,17.2328,0.0,90.0,398.0
0,15.687525,49.000000000000306,0.0,395.25
0,5.728975,0.0,100.0,238.25
0,4.4125,0.0,100.0,210.0
0,55.83330000000001,0.0,72.5,747.0
0,14.063025,0.0,82.5,374.25
0,15.823300000000001,0.0,100.0,389.0
0,4.347899999999999,0.0,100.0,208.5
0,9.577,0.0,80.0,309.0
0,6.8942999999999985,0.0,100.0,262.5
0,3.5292250000000003,0.0,100.0,187.75
0,8.570575,0.0,100.0,290.75
0,4.8153250000000005,0.0,100.0,219.25
0,23.1445,0.0,72.5,479.5
0,18.584725,0.0,90.0,365.75
0,4.0621,0.0,90.0,201.5
0,5.7361,0.0,100.0,239.5
0,37.75240000000001,0.0,67.5,571.0
0,7.822824999999999,0.0,100.0,278.75
0,5.483250000000001,0.0,100.0,229.5
0,4.19105,0.0,97.5,204.5
0,12.945699999999999,17.250000000000185,22.5,354.5
0,3.2041,0.0,100.0,179.0
0,4.0948,0.0,100.0,202.0
0,13.546000000000001,0.0,100.0,368.0
0,24.029600000000002,0.0,40.0,490.0
0,7.4073,0.0,100.0,262.5
0,7.952399999999999,0.0,100.0,282.0
0,4.120900000000001,0.0,80.0,203.0
0,3.8809,0.0,100.0,197.0
0,5.217599999999999,0.0,87.5,228.0
0,4.0482,0.0,100.0,201.0
0,4.452499999999999,0.0,95.0,211.0
0,3.6728500000000004,0.0,100.0,191.5
0,4.6901,0.0,100.0,215.0
0,6.127975,0.0,95.0,230.75
0,4.0207,0.0,82.5,200.5
0,4.368099999999999,0.0,100.0,209.0
0,17.6345,0.0,85.0,419.0
0,6.4893,0.0,60.0,253.5
0,10.824200000000003,0.0,100.0,329.0
0,9.252,0.0,97.5,294.0
0,4.2604999999999995,0.0,90.0,206.0
0,5.376225,0.0,100.0,231.75
0,6.502500000000001,0.0,90.0,255.0
0,50.126400000000004,0.0,80.0,708.0
0,5.076925000000001,0.0,82.5,225.25
0,11.2575,0.0,90.0,315.0
0,7.182400000000001,0.0,100.0,268.0
0,4.10625,0.0,95.0,202.5
0,4.638675,0.0,100.0,215.25
0,6.173275,0.0,100.0,247.25
0,6.4353,0.0,100.0,253.5
0,4.2848999999999995,0.0,100.0,207.0
0,22.070950000000003,0.0,85.0,467.0
0,4.3267,0.0,100.0,208.0
0,4.5943000000000005,0.0,90.0,214.0
0,10.0714,0.0,90.0,317.0
0,6.359575,0.0,85.0,249.75
0,56.243424999999995,8.850000000000172,2.5,747.25
0,15.0933,0.0,47.5,388.5
0,5.2249,0.0,90.0,228.5
0,4.752400000000001,0.0,100.0,218.0
0,9.840900000000001,0.0,87.5,313.5
0,23.36305,0.0,95.0,454.5
0,4.7527,0.0,100.0,218.0
0,19.580900000000003,0.0,60.0,440.0
0,5.76,0.0,90.0,240.0
0,4.709775,0.0,97.5,216.75
0,3.5116000000000005,0.0,100.0,187.0
1,1.177225,0.0,25.0,54.25
