generation,fitness,p_health,e_health,time
0,2.584375,0.0,100.0,159.25
0,3.30525,0.0,95.0,181.5
0,1.537,0.0,80.0,121.0
0,1.531825,0.0,97.5,121.75
0,11.193425000000001,0.0,67.5,326.25
0,1.68505,0.0,100.0,128.5
0,2.827475,0.0,100.0,164.25
0,1.9468,0.0,100.0,139.0
0,19.333525,0.0,90.0,433.25
0,6.053625000000001,0.0,100.0,234.75
0,1.818925,0.0,100.0,132.75
0,5.798900000000001,0.0,100.0,231.5
0,7.070525000000001,0.0,100.0,239.25
0,2.163075,0.0,100.0,142.25
0,2.6662250000000003,0.0,100.0,161.75
0,7.158525,0.0,100.0,255.25
0,2.163075,0.0,100.0,142.25
0,2.0481249999999998,0.0,100.0,140.75
0,3.491875,0.0,100.0,186.25
0,1.2961,0.0,100.0,113.0
0,2.31245,0.0,100.0,148.5
0,3.34165,0.0,100.0,182.5
0,2.2062250000000003,0.0,100.0,146.75
0,2.2095,0.0,80.0,148.5
0,1.66135,0.0,100.0,127.0
0,4.508,0.0,100.0,204.0
0,2.92145,0.0,85.0,167.0
0,1.0235,0.0,92.5,100.5
0,1.8093,0.0,100.0,129.0
0,2.5200500000000003,0.0,100.0,157.5
0,4.51585,0.0,100.0,204.5
0,3.982075,0.0,97.5,198.25
0,4.38705,0.0,100.0,197.5
0,7.1945250000000005,0.0,100.0,257.25
0,1.7843750000000003,0.0,100.0,128.25
0,2.163075,0.0,100.0,142.25
0,0.763325,0.0,87.5,87.25
0,6.3084,0.0,97.5,239.0
0,2.30975,0.0,92.5,149.0
0,9.4381,0.0,90.0,303.5
0,3.7003500000000003,0.0,92.5,175.5
0,1.12865,0.0,100.0,105.5
0,1.7314500000000002,0.0,100.0,127.5
0,2.5816500000000002,0.0,95.0,157.5
0,2.3689750000000003,0.0,85.0,150.75
0,2.3844250000000002,0.0,100.0,151.75
0,20.1992,0.0,100.0,444.0
0,10.14565,0.0,80.0,317.5
0,2.21265,0.0,100.0,145.0
0,8.865025000000001,0.0,100.0,289.75
0,3.4918750000000003,0.0,100.0,186.25
0,2.1512000000000002,0.0,100.0,146.0
0,2.336,0.0,90.0,152.0
0,3.503875,0.0,100.0,181.75
0,2.001825,0.0,100.0,139.75
0,3.3588249999999995,0.0,70.0,180.75
0,1.7974250000000003,0.0,100.0,132.75
0,17.172575,0.0,97.5,410.75
0,1.8456249999999996,0.0,90.0,133.75
0,2.2348,0.0,92.5,149.0
0,2.77245,0.0,100.0,163.5
0,6.202224999999999,0.0,100.0,235.75
0,1.958675,0.0,100.0,135.25
0,2.11015,0.0,90.0,144.0
0,1.640725,0.0,90.0,126.25
0,2.31245,0.0,100.0,148.5
0,14.471475,0.0,100.0,379.75
0,3.1458500000000003,0.0,95.0,176.5
0,3.8688249999999997,0.0,100.0,183.75
0,1.797425,0.0,100.0,132.75
0,8.615450000000001,0.0,100.0,293.5
0,2.623075,0.0,100.0,157.25
0,2.607325,0.0,100.0,160.25
0,2.2801,0.0,100.0,151.0
0,1.294275,0.0,100.0,113.25
0,9.3529,0.0,85.0,296.0
0,4.0047,0.0,100.0,190.0
0,1.507575,0.0,95.0,120.75
0,1.958675,0.0,100.0,135.25
0,2.449825,0.0,100.0,153.25
0,2.001825,0.0,100.0,139.75
0,3.51205,0.0,85.0,173.5
0,5.010175,0.0,100.0,214.75
0,18.706325,0.0,100.0,431.25
0,5.2837749999999994,0.0,100.0,219.25
0,2.67625,0.0,100.0,163.5
0,2.989975,0.0,97.5,172.25
0,16.722450000000002,0.0,70.0,408.5
0,31.753375000000005,0.0,100.0,558.25
0,3.132775,0.0,100.0,172.75
0,2.461825,0.0,100.0,154.75
0,8.5441,0.0,92.5,282.5
0,4.014725,0.0,90.0,198.75
0,4.4193500000000006,0.0,85.0,198.0
0,1.8524500000000002,0.0,100.0,133.5
0,2.7696500000000004,0.0,70.0,165.5
0,2.5168500000000003,0.0,100.0,155.5
0,3.9509250000000002,0.0,97.5,188.25
0,7.588075,0.0,100.0,262.75
0,1.8819250000000003,0.0,100.0,135.25
1,0.43560000000000004,0.0,25.0,33.0
1,0.6006250000000001,0.0,20.0,38.75
1,0.13322499999999998,0.0,25.0,18.25
1,0.6084,0.0,22.5,39.0
1,18.3305,0.0,50.0,428.0
1,0.4096,0.0,25.0,32.0
1,0.286225,0.0,25.0,26.75
1,0.6400000000000001,0.0,25.0,40.0
1,0.7224999999999999,0.0,25.0,42.5
1,0.555025,0.0,25.0,37.25
1,0.765625,0.0,25.0,43.75
1,0.9216,0.0,25.0,48.0
1,0.801025,0.0,25.0,44.75
1,0.819025,0.0,22.5,45.25
1,0.6400000000000001,0.0,25.0,40.0
1,8.2089,0.0,100.0,277.5
1,0.43560000000000004,0.0,25.0,33.0
1,0.378225,0.0,25.0,30.75
1,0.286225,0.0,25.0,26.75
1,0.286225,0.0,25.0,26.75
1,0.9506249999999999,0.0,25.0,48.75
1,0.5112249999999999,0.0,25.0,35.75
1,0.8464,0.0,25.0,46.0
1,33.301199999999994,0.0,77.5,570.0
1,0.6400000000000001,0.0,25.0,40.0
1,0.5776,0.0,25.0,38.0
1,0.390625,0.0,25.0,31.25
1,0.9506249999999999,0.0,25.0,48.75
1,0.6084,0.0,25.0,39.0
1,0.9506249999999999,0.0,25.0,48.75
1,0.765625,0.0,22.5,43.75
1,0.5112249999999999,0.0,25.0,35.75
1,0.6320250000000001,0.0,25.0,39.75
1,0.7395999999999999,0.0,25.0,43.0
1,0.2116,0.0,25.0,23.0
1,0.43560000000000004,0.0,25.0,33.0
1,0.22090000000000004,0.0,25.0,23.5
1,131.75,56.0,92.5,1000.0
1,0.44222500000000003,0.0,22.5,33.25
1,5.601625,0.0,100.0,221.75
1,0.354025,0.0,25.0,29.75
1,0.5328999999999999,0.0,22.5,36.5
1,0.8281000000000001,0.0,25.0,45.5
1,0.30250000000000005,0.0,25.0,27.5
1,27.056875000000005,0.0,90.0,514.75
1,0.9506249999999999,0.0,25.0,48.75
1,19.621625,0.0,100.0,442.25
1,0.585225,0.0,25.0,38.25
1,0.255025,0.0,25.0,25.25
1,7.012525000000001,0.0,100.0,252.25
1,0.6400000000000001,0.0,25.0,40.0
1,0.286225,0.0,25.0,26.75
1,0.9506249999999999,0.0,25.0,48.75
1,0.9506249999999999,0.0,25.0,48.75
1,0.286225,0.0,25.0,26.75
1,0.366025,0.0,25.0,30.25
1,0.286225,0.0,25.0,26.75
1,0.43560000000000004,0.0,22.5,33.0
1,0.2601,0.0,25.0,25.5
1,0.9506249999999999,0.0,25.0,48.75
1,0.6400000000000001,0.0,25.0,40.0
1,4.8258,0.0,100.0,183.0
1,0.990025,0.0,25.0,49.75
1,0.6400000000000001,0.0,25.0,40.0
1,0.540225,0.0,17.5,36.75
1,0.286225,0.0,25.0,26.75
1,11.6713,0.0,92.5,341.0
1,0.990025,0.0,20.0,49.75
1,0.9506249999999999,0.0,25.0,48.75
1,0.43560000000000004,0.0,25.0,33.0
1,6.07825,0.0,100.0,239.5
1,0.286225,0.0,25.0,26.75
1,0.2601,0.0,25.0,25.5
1,0.22090000000000004,0.0,25.0,23.5
1,0.286225,0.0,22.5,26.75
1,0.43560000000000004,0.0,17.5,33.0
1,5.6843,0.0,97.5,228.0
1,0.6006250000000001,0.0,22.5,38.75
1,0.6400000000000001,0.0,25.0,40.0
1,0.8556250000000001,0.0,25.0,46.25
1,0.931225,0.0,25.0,48.25
1,0.34809999999999997,0.0,20.0,29.5
1,8.278675,0.0,95.0,280.75
1,4.2627250000000005,0.0,100.0,203.75
1,0.46922500000000006,0.0,25.0,34.25
1,0.36,0.0,25.0,30.0
1,0.5328999999999999,0.0,20.0,36.5
1,13.29705,0.0,80.0,364.5
1,27.456775000000007,0.0,100.0,519.75
1,0.9409,0.0,25.0,48.5
1,0.9506249999999999,0.0,25.0,48.75
1,79.49924999999999,10.0,100.0,844.0
1,0.8372250000000001,0.0,20.0,45.75
1,6.887325000000001,0.0,90.0,248.75
1,0.9506249999999999,0.0,25.0,48.75
1,0.5476,0.0,20.0,37.0
1,0.9506249999999999,0.0,25.0,48.75
1,0.4900000000000001,0.0,25.0,35.0
1,0.7395999999999999,0.0,25.0,43.0
1,0.43560000000000004,0.0,25.0,33.0
2,0.748225,0.0,17.5,43.25
2,0.286225,0.0,25.0,26.75
2,32.508100000000006,0.0,72.5,563.0
2,130.5,56.0,95.0,1000.0
2,0.354025,0.0,25.0,29.75
2,0.403225,0.0,22.5,31.75
2,0.697225,0.0,25.0,41.75
2,11.06665,0.0,100.0,332.5
2,0.31360000000000005,0.0,25.0,28.0
2,0.9120250000000001,0.0,25.0,47.75
2,0.6006250000000001,0.0,25.0,38.75
2,0.2601,0.0,25.0,25.5
2,0.6400000000000001,0.0,25.0,40.0
2,13.962900000000001,0.0,97.5,373.5
2,30.8025,0.0,100.0,555.0
2,0.585225,0.0,25.0,38.25
2,5.5377,0.0,100.0,223.5
2,0.9801,0.0,25.0,49.5
2,11.377825000000001,0.0,100.0,331.25
2,0.286225,0.0,25.0,26.75
2,0.6084,0.0,22.5,39.0
2,5.953875,0.0,100.0,236.75
2,0.7140249999999999,0.0,25.0,42.25
2,0.8464,0.0,25.0,46.0
2,2.25075,0.0,62.5,127.0
2,0.9216,0.0,20.0,48.0
2,8.396225000000001,0.0,100.0,281.25
2,130.5,56.0,95.0,1000.0
2,0.9025000000000001,0.0,25.0,47.5
2,117.0,34.0,100.0,1000.0
2,0.748225,0.0,25.0,43.25
2,1.0,0.0,25.0,50.0
2,9.2131,0.0,72.5,296.5
2,5.101825000000001,0.0,92.5,211.25
2,130.5,56.0,95.0,1000.0
2,0.286225,0.0,25.0,26.75
2,0.403225,0.0,25.0,31.75
2,9.428875000000001,0.0,75.0,302.25
2,0.286225,0.0,22.5,26.75
2,12.08055,0.0,87.5,347.0
2,5.791425,0.0,95.0,231.75
2,0.43560000000000004,0.0,25.0,33.0
2,0.6084,0.0,22.5,39.0
2,7.98215,0.0,100.0,272.0
2,0.6006250000000001,0.0,22.5,38.75
2,0.34222499999999995,0.0,25.0,29.25
