generation,fitness,p_health,e_health,time
0,-4.663439094112067,0,100,106
0,-5.049856007249537,0,100,156
0,-5.19295685089021,0,100,180
0,-4.983606621708336,0,100,146
0,-5.117993812416755,0,100,167
1,-5.262690188904886,0,100,193
1,-5.683579767338681,0,100,294
1,-5.683579767338681,0,100,294
1,-4.882801922586371,0,100,132
1,-5.043425116919247,0,100,155
2,-5.840641657373398,0,100,344
2,-5.733341276897746,0,100,309
2,-5.683579767338681,0,100,294
2,-5.187385805840755,0,100,179
2,3.996053694054541,0,90.0,149
3,-5.733341276897746,0,100,309
3,-5.272999558563747,0,100,195
3,-5.7745515455444085,0,100,322
3,-5.717027701406222,0,100,304
3,-5.733341276897746,0,100,309
4,-5.8377304471659395,0,100,343
4,-5.19295685089021,0,100,180
4,-5.683579767338681,0,100,294
4,-4.882801922586371,0,100,132
4,-5.683579767338681,0,100,294
5,-5.683579767338681,0,100,294
5,-5.733341276897746,0,100,309
5,-5.147494476813453,0,100,172
5,-5.8377304471659395,0,100,343
5,-5.840641657373398,0,100,344
6,-5.683579767338681,0,100,294
6,-5.683579767338681,0,100,294
6,-5.147494476813453,0,100,172
6,-5.187385805840755,0,100,179
6,-5.840641657373398,0,100,344
7,-5.19295685089021,0,100,180
7,-5.683579767338681,0,100,294
7,-5.8377304471659395,0,100,343
7,-5.8377304471659395,0,100,343
7,-5.19295685089021,0,100,180
8,-5.19295685089021,0,100,180
8,-5.840641657373398,0,100,344
8,-5.147494476813453,0,100,172
8,-5.147494476813453,0,100,172
8,-5.840641657373398,0,100,344
9,-5.19295685089021,0,100,180
9,-5.683579767338681,0,100,294
9,-5.7745515455444085,0,100,322
9,-5.7745515455444085,0,100,322
9,-5.733341276897746,0,100,309
