generation,fitness,p_health,e_health,time
0,1.0201,0.0,100.0,101.0
0,4.55975,0.0,100.0,199.0
0,7.732125,0.0,85.0,270.75
0,1.8524500000000002,0.0,100.0,133.5
0,1.3583250000000002,0.0,57.5,114.75
0,2.013175,0.0,77.5,136.75
0,2.0705,0.0,80.0,137.0
0,2.623075,0.0,100.0,157.25
0,2.3484000000000003,0.0,100.0,153.0
0,2.6662250000000003,0.0,100.0,161.75
0,1.99655,0.0,80.0,140.0
0,1.9513250000000002,0.0,100.0,135.75
0,2.623075,0.0,100.0,157.25
0,7.182025,0.0,52.5,257.25
0,2.3832750000000003,0.0,75.0,152.25
0,11.10825,0.0,80.0,326.0
0,5.40625,0.0,100.0,222.5
0,2.8025250000000006,0.0,90.0,165.25
0,2.66245,0.0,97.5,158.0
0,2.176875,0.0,100.0,146.25
0,2.9475999999999996,0.0,90.0,170.0
0,1.5930250000000001,0.0,100.0,125.75
0,1.3726500000000001,0.0,97.5,115.0
0,2.257425,0.0,100.0,147.75
0,2.8382500000000004,0.0,100.0,165.5
0,2.064475,0.0,77.5,143.25
0,1.51625,0.0,100.0,122.5
0,1.8524500000000002,0.0,100.0,133.5
0,9.618500000000001,0.0,55.0,303.0
0,1.445325,0.0,97.5,118.75
0,1.5133,0.0,90.0,122.5
0,8.36935,0.0,100.0,283.0
0,2.0406250000000004,0.0,100.0,137.75
0,1.5814750000000002,0.0,82.5,120.25
0,2.623075,0.0,87.5,157.25
0,1.7921,0.0,100.0,132.5
0,2.163075,0.0,100.0,142.25
0,1.6480500000000002,0.0,100.0,126.5
0,5.45235,0.0,62.5,221.5
0,3.18125,0.0,100.0,177.5
0,2.456925,0.0,100.0,151.75
0,1.64805,0.0,100.0,126.5
0,25.155625,0.0,100.0,496.75
0,2.461825,0.0,100.0,154.75
0,3.094825,0.0,97.5,172.25
0,3.21205,0.0,85.0,176.5
0,2.10805,0.0,90.0,141.5
0,2.5168500000000003,0.0,100.0,155.5
0,2.013175,0.0,80.0,136.75
0,9.124075,0.0,100.0,295.75
0,1.9318500000000003,0.0,100.0,135.0
0,1.5995750000000002,0.0,100.0,121.25
0,1.880125,0.0,95.0,135.25
0,1.31345,0.0,100.0,112.5
0,2.275775,0.0,100.0,149.75
0,1.8186999999999998,0.0,100.0,132.5
0,83.0505,6.0,100.0,886.5
0,2.2129000000000003,0.0,100.0,141.5
0,2.44295,0.0,85.0,152.0
0,5.580175,0.0,100.0,230.25
0,2.5168500000000003,0.0,100.0,155.5
0,1.23345,0.0,95.0,111.0
0,2.2170250000000005,0.0,100.0,145.25
0,6.348975,0.0,100.0,246.75
0,2.6927000000000003,0.0,85.0,163.5
0,2.3556000000000004,0.0,100.0,153.0
0,2.3556000000000004,0.0,100.0,153.0
0,29.831725,0.0,82.5,539.25
0,2.461825,0.0,100.0,154.75
0,1.6721,0.0,82.5,127.5
0,2.6662250000000003,0.0,100.0,161.75
0,2.6662250000000003,0.0,100.0,161.75
0,4.889375000000001,0.0,87.5,208.75
0,1.737,0.0,100.0,129.0
0,2.77245,0.0,100.0,163.5
0,2.15505,0.0,100.0,143.0
0,2.255075,0.0,100.0,148.25
0,31.16185,0.0,95.0,553.5
0,20.188575000000004,0.0,92.5,447.75
0,2.31245,0.0,100.0,148.5
0,3.2653750000000006,0.0,100.0,180.25
0,2.10805,0.0,100.0,141.5
0,4.2561,0.0,80.0,192.0
0,2.31245,0.0,97.5,148.5
0,1.294275,0.0,100.0,113.25
0,6.584499999999999,0.0,100.0,249.0
0,2.207875,0.0,90.0,146.75
0,22.25045,0.0,77.5,465.5
0,16.8601,0.0,100.0,410.5
0,3.3416499999999996,0.0,100.0,182.5
0,4.210675,0.0,92.5,202.75
0,2.0853,0.0,92.5,142.5
0,21.628700000000002,0.0,100.0,448.5
0,1.978575,0.0,100.0,136.75
0,2.28645,0.0,100.0,149.5
0,20.61105,0.0,82.5,448.5
0,6.3382,0.0,75.0,244.0
0,1.958675,0.0,100.0,135.25
0,1.931725,0.0,72.5,134.25
0,5.8635,0.0,97.5,235.5
1,0.39690000000000003,0.0,25.0,31.5
1,0.286225,0.0,25.0,26.75
1,0.801025,0.0,25.0,44.75
1,0.43560000000000004,0.0,25.0,33.0
1,0.6006250000000001,0.0,25.0,38.75
1,0.819025,0.0,20.0,45.25
1,0.5476,0.0,17.5,37.0
1,1.2321000000000002,0.0,15.0,55.5
1,0.525625,0.0,25.0,36.25
1,0.9506249999999999,0.0,25.0,48.75
1,0.255025,0.0,20.0,25.25
1,0.6006250000000001,0.0,25.0,38.75
1,0.43560000000000004,0.0,25.0,33.0
1,4.409199999999999,0.0,70.0,203.0
1,0.8836000000000002,0.0,25.0,47.0
1,0.8836000000000002,0.0,25.0,47.0
1,0.286225,0.0,25.0,26.75
1,0.255025,0.0,25.0,25.25
1,0.49702499999999994,0.0,22.5,35.25
1,5.5213,0.0,100.0,222.0
1,1.221025,0.0,25.0,55.25
1,0.43560000000000004,0.0,25.0,33.0
1,0.6561000000000001,0.0,25.0,40.5
1,0.6400000000000001,0.0,25.0,40.0
1,0.7921,0.0,25.0,44.5
1,8.955525,0.0,100.0,299.25
1,0.6400000000000001,0.0,25.0,40.0
1,0.9506249999999999,0.0,25.0,48.75
1,0.5328999999999999,0.0,25.0,36.5
1,0.9025000000000001,0.0,25.0,47.5
1,0.29702500000000004,0.0,25.0,27.25
1,0.748225,0.0,25.0,43.25
1,0.8281000000000001,0.0,25.0,45.5
1,0.255025,0.0,22.5,25.25
1,0.6400000000000001,0.0,22.5,40.0
1,0.6400000000000001,0.0,25.0,40.0
1,0.6400000000000001,0.0,25.0,40.0
1,0.9506249999999999,0.0,25.0,48.75
1,0.7832250000000001,0.0,25.0,44.25
1,0.7140249999999999,0.0,22.5,42.25
1,0.9506249999999999,0.0,25.0,48.75
1,0.2916,0.0,25.0,27.0
1,24.272925000000004,0.0,100.0,487.75
1,0.286225,0.0,25.0,26.75
