generation,fitness,p_health,e_health,time
0,26.25,0.0,95.0,131.25
0,50.00000000000001,0.0,100.0,250.0
0,31.0,0.0,100.0,155.0
0,23.1,0.0,97.5,115.5
0,18.750000000000004,0.0,100.0,93.75
0,48.150000000000006,0.0,100.0,240.75
0,51.300000000000004,0.0,45.0,256.5
0,41.85,0.0,72.5,209.25
0,41.15,0.0,100.0,205.75
0,31.800000000000004,0.0,90.0,159.0
0,32.7,0.0,100.0,163.5
0,30.300000000000004,0.0,100.0,151.5
0,26.550000000000004,0.0,100.0,132.75
0,27.1,0.0,100.0,135.5
0,48.45,0.0,100.0,242.25
0,49.6,0.0,75.0,248.0
0,28.650000000000002,0.0,92.5,143.25
0,29.700000000000003,0.0,100.0,148.5
0,31.450000000000003,0.0,100.0,157.25
0,24.650000000000002,0.0,100.0,123.25
0,35.15,0.0,100.0,175.75
0,81.2,0.0,92.5,406.0
0,29.700000000000003,0.0,100.0,148.5
0,36.75,0.0,100.0,183.75
0,32.0,0.0,97.5,160.0
0,27.050000000000004,0.0,100.0,135.25
0,32.85,0.0,100.0,164.25
0,23.500000000000004,0.0,100.0,117.5
0,26.900000000000002,0.0,100.0,134.5
0,37.900000000000006,0.0,87.5,189.5
0,24.05,0.0,100.0,120.25
0,33.5,0.0,100.0,167.5
0,22.65,0.0,95.0,113.25
0,29.900000000000002,0.0,77.5,149.5
0,32.35,0.0,100.0,161.75
0,32.5,0.0,100.0,162.5
0,28.150000000000002,0.0,100.0,140.75
0,31.6,0.0,90.0,158.0
0,29.85,0.0,100.0,149.25
0,42.55,0.0,100.0,212.75
0,36.75,0.0,85.0,183.75
0,39.4,0.0,100.0,197.0
0,28.15,0.0,100.0,140.75
0,61.5,0.0,80.0,307.5
0,62.800000000000004,0.0,100.0,314.0
0,28.3,0.0,100.0,141.5
0,35.5,0.0,100.0,177.5
0,23.5,0.0,100.0,117.5
0,42.95,0.0,100.0,214.75
0,60.800000000000004,0.0,100.0,304.0
0,24.05,0.0,100.0,120.25
0,30.85,0.0,100.0,154.25
0,35.85,0.0,100.0,179.25
0,109.0,0.0,82.5,545.0
0,27.25,0.0,95.0,136.25
0,27.9,0.0,100.0,139.5
0,32.650000000000006,0.0,100.0,163.25
0,55.3,0.0,100.0,276.5
0,46.300000000000004,0.0,92.5,231.5
0,28.599999999999998,0.0,100.0,143.0
0,28.6,0.0,75.0,143.0
0,34.6,0.0,100.0,173.0
0,33.25,0.0,100.0,166.25
0,33.75,0.0,100.0,168.75
0,24.25,0.0,97.5,121.25
0,25.8,0.0,82.5,129.0
0,32.15,0.0,100.0,160.75
0,25.800000000000004,0.0,95.0,129.0
0,33.75,0.0,100.0,168.75
0,29.200000000000003,0.0,100.0,146.0
0,28.150000000000002,0.0,97.5,140.75
0,40.95,0.0,100.0,204.75
0,33.95,0.0,100.0,169.75
0,24.0,0.0,95.0,120.0
0,30.900000000000006,0.0,90.0,154.5
0,45.95,0.0,100.0,229.75
0,32.45,0.0,100.0,162.25
0,25.1,0.0,100.0,125.5
0,32.0,0.0,100.0,160.0
0,44.2,0.0,100.0,221.0
0,39.0,0.0,100.0,195.0
0,84.60000000000001,0.0,100.0,423.0
0,35.650000000000006,0.0,95.0,178.25
0,28.450000000000003,0.0,100.0,142.25
0,84.55000000000001,0.0,85.0,422.75
0,28.200000000000003,0.0,80.0,141.0
0,28.5,0.0,100.0,142.5
0,21.1,0.0,100.0,105.5
0,31.1,0.0,100.0,155.5
0,27.35,0.0,100.0,136.75
0,39.75,0.0,80.0,198.75
0,38.599999999999994,0.0,100.0,193.0
0,29.550000000000004,0.0,100.0,147.75
0,27.349999999999998,0.0,90.0,136.75
0,26.0,0.0,100.0,130.0
0,27.9,0.0,100.0,139.5
0,32.25,0.0,100.0,161.25
0,51.400000000000006,0.0,100.0,257.0
0,24.25,0.0,87.5,121.25
0,28.300000000000004,0.0,100.0,141.5
1,4.73788342631325,0.0,25.0,24.25
