

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 5; fitness: 53.4922447210179; player life: 64.00000000000034; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: -5.968707559985366; player life: 0; enemy life: 100; time: 391

RUN: run status: enemy: 5; fitness: -4.407755278982112; player life: 25.00000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.8345821457685796; player life: 0; enemy life: 90.0; time: 476

RUN: run status: enemy: 5; fitness: -6.590301048196686; player life: 0; enemy life: 100; time: 728

RUN: run status: enemy: 5; fitness: -6.327936783729195; player life: 0; enemy life: 100; time: 560

RUN: run status: enemy: 5; fitness: -6.747755278982114; player life: 1.6000000000002341; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 0.7522447210178855; player life: 76.60000000000022; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 29.657878581278847; player life: 0; enemy life: 60.0; time: 568

RUN: run status: enemy: 5; fitness: 2.4972099540843766; player life: 0; enemy life: 90.0; time: 667

RUN: run status: enemy: 5; fitness: 0.21224472101789083; player life: 71.20000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.180016653652572; player life: 0; enemy life: 100; time: 483

RUN: run status: enemy: 5; fitness: 29.57351154254231; player life: 0; enemy life: 60.0; time: 618

RUN: run status: enemy: 5; fitness: 29.50473444406299; player life: 0; enemy life: 60.0; time: 662

RUN: run status: enemy: 5; fitness: 87.49645558296868; player life: 33.40000000000027; enemy life: 0; time: 345

RUN: run status: enemy: 5; fitness: -1.7077552789821056; player life: 52.00000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.329720905522696; player life: 0; enemy life: 100; time: 561

RUN: run status: enemy: 5; fitness: 45.93224472101788; player life: 78.4000000000002; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: -4.587755278982112; player life: 23.200000000000244; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 6.632244721017894; player life: 45.4000000000003; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 65.28098684561473; player life: 0; enemy life: 20.0; time: 828

RUN: run status: enemy: 5; fitness: 29.11346835746949; player life: 0; enemy life: 60.0; time: 979

RUN: run status: enemy: 5; fitness: 1.3522447210178807; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 38.82413272989424; player life: 0; enemy life: 50.0; time: 481

RUN: run status: enemy: 5; fitness: -3.4477552789821093; player life: 34.60000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -0.5677552789821023; player life: 63.40000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 12.272244721017888; player life: 11.80000000000023; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.893656354602635; player life: 0; enemy life: 100; time: 986

RUN: run status: enemy: 5; fitness: 48.03224472101789; player life: 9.400000000000231; enemy life: 40.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.447755278982114; player life: 4.600000000000234; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.456769655572163; player life: 0; enemy life: 100; time: 637

RUN: run status: enemy: 5; fitness: -0.6277552789821028; player life: 62.80000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 56.104317302252134; player life: 0; enemy life: 30.0; time: 988

RUN: run status: enemy: 5; fitness: 20.852244721017886; player life: 7.600000000000232; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: -1.8277552789821057; player life: 50.80000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 2.1922447210178717; player life: 91.00000000000009; enemy life: 100; time: 1000

