generation,gain_enemy_1,gain_enemy_2,kill_enemy_1,kill_enemy_2,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,0.0,0.0,0.03693393864587102,0.9640197741755027,0.04478134537040224,0.03941450088152709
0,-100.0,-100.0,0.0,0.0,0.18462072651960804,0.39799294957387255,0.8513313559983591,0.4522044869533266
0,-100.0,-100.0,0.0,0.0,0.6700014554844334,0.6989313123781009,0.588971941131305,0.45811273691065835
0,-100.0,-100.0,0.0,0.0,0.05213107155398522,0.8266865430114744,0.7621502894461817,0.0894172194696844
0,-100.0,-100.0,0.0,0.0,0.38698423777918123,0.617302109555522,0.7642765033765693,0.8162578753147683
0,-100.0,-97.5,0.0,0.0,0.747251768746849,0.16805240856732717,0.6849264838832833,0.4109090155108055
0,-100.0,-100.0,0.0,0.0,0.3607650711105579,0.6588706606891988,0.4134948370211221,0.16353836957077683
0,-87.5,-42.5,0.0,0.0,0.08288523342251597,0.5714033078309023,0.8079818871933647,0.7581325292542773
0,-77.5,29.0,0.0,1.0,0.013241667673826174,0.6672523013643542,0.7911646404536542,0.4128457602702733
0,-100.0,-100.0,0.0,0.0,0.056921240643298954,0.6041141102507878,0.1812273258791789,0.26076765993453577
1,-85.0,-62.5,0.0,0.0,0.08630615394747132,0.7127808015460715,1.0,0.5044035633782715
1,-85.0,13.0,0.0,0.75,0.015301534039065718,0.7795999050088703,0.7899377955292237,0.45653536751279533
1,-65.0,-85.0,0.0,0.0,0.010822102273041125,0.7577197251297086,0.9025987807319285,0.6660491157140453
1,-77.5,-5.0,0.0,0.5,0.011079580288231495,0.7615399599431186,0.8419018734905919,0.3539318016702065
1,-77.5,16.5,0.0,0.75,0.011599151580343716,0.7580716827877677,0.5260598429839826,0.32441114045540625
1,-77.5,-42.5,0.0,0.0,0.01222903031114518,0.4721357969469609,1.0,0.3513747198426607
1,-97.5,32.5,0.0,0.75,0.013956061294633247,0.6473314483886592,0.6835173798899316,1.0
1,-100.0,-100.0,0.0,0.0,0.08803395022753259,0.4623744209149913,0.7967602008498407,0.7320719836823572
1,-80.0,-65.0,0.0,0.0,0.013860950955508504,0.49775756155483014,0.8999481051916371,0.9018039236888491
1,-85.0,12.5,0.0,0.75,0.02204428624086194,0.8737414784572913,0.9658969573374213,0.3872320518320636
2,-100.0,17.0,0.0,0.5,0.015548025716946268,0.5143800332534815,0.7562161388813147,0.9843355347181134
2,-90.0,-12.5,0.0,0.25,0.010699281770267664,0.8044056806934243,0.5986205672488051,0.36005247635127224
2,-85.0,-12.5,0.0,0.25,0.01419995824523056,0.5241176518985905,0.7462004212388936,0.24458043709032626
2,-82.5,-22.5,0.0,0.0,0.01172436375918645,1.0,0.8473758029470592,0.4546604819310796
2,-95.0,15.5,0.0,0.5,0.012083742916945734,0.9286685496231628,0.6321093996780411,0.8200476740386945
2,-92.5,-60.0,0.0,0.0,0.012873478358050135,0.4162822019813116,1.0,0.3077282140444304
2,-80.0,-62.5,0.0,0.0,0.06241983039117197,0.5415606446176641,0.9459344863416359,0.48747947373357303
2,-90.0,-2.0,0.0,0.5,0.02606596502350653,0.7533715022752359,0.864474864033494,0.3362499484206628
2,-87.5,15.5,0.0,0.5,0.017677516590245565,0.6361667438107657,0.9198985183499819,0.32312414249715626
2,-82.5,-30.0,0.0,0.0,0.014376036032357424,0.6918951497744414,0.825897827862257,0.28739902567999015
3,-87.5,21.0,0.0,0.75,0.010518506905718403,1.0,0.8651730301606242,0.4796646952039226
3,-85.0,15.5,0.0,0.5,0.010817493515993043,0.755179533484288,0.8265602832936658,0.30322946499701076
3,-85.0,21.0,0.0,0.75,0.01191829223883025,0.7257519952164325,0.8876809477537796,0.24754939003230253
3,-80.0,8.0,0.0,0.5,0.01165796405089057,1.0,0.9715438586830081,0.3382105173732077
3,-100.0,-100.0,0.0,0.0,0.012009389661753607,0.710084053376989,0.8700056103066642,0.3067497071145836
3,-100.0,-35.0,0.0,0.0,0.01969124258784899,0.43437117474724773,0.9530832097710615,0.8319530514544798
3,-100.0,-1.5,0.0,0.25,0.016785222982499286,0.6959605766922746,0.7601638738822012,0.8394245712273458
3,-87.5,-14.5,0.0,0.25,0.01501604558112438,0.6061300036640785,1.0,1.0
3,-82.5,3.0,0.0,0.5,0.010479481801567112,0.6616136241617645,0.640887865320423,0.3207068051637108
3,-97.5,34.0,0.0,0.75,0.011058226958983917,0.5823182937106325,0.49704963954000886,0.30435242118341804
4,-82.5,-10.0,0.0,0.25,0.007070489433389151,0.8613050238477753,0.6144148168092803,0.28866560014435727
4,-90.0,-9.0,0.0,0.25,0.021919129699905417,0.47708512020065597,0.806880382556424,0.4414872342299765
4,-82.5,-12.5,0.0,0.25,0.012627891691013178,0.664651087091226,0.798737322124198,0.2710734397217884
4,-80.0,-72.5,0.0,0.0,0.008078394328038915,0.6507585337670941,0.5043704390172324,0.3133327218699841
4,-87.5,-44.0,0.0,0.25,0.012770802549930958,0.5556279089223081,0.7187813210516985,0.6474458284727619
4,-92.5,26.5,0.0,0.75,0.011311832728466057,0.715338370868917,1.0,0.44836576758166785
4,-82.5,-14.5,0.0,0.25,0.014243980218737186,0.8024394919766297,1.0,0.22836319077448586
4,-82.5,-4.0,0.0,0.25,0.010237379369230856,0.7050583957393746,0.7280853462679748,0.3215470396210898
4,-97.5,10.0,0.0,0.5,0.006622581590515165,0.4748468576798219,0.828255807733173,0.6081897341302541
4,-97.5,-5.0,0.0,0.25,0.020103511998572094,0.6425595924391877,0.7659599417773346,0.8212404135307417
