generation,fitness,p_health,e_health,time
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.2592381506034074,0.0,25.0,38.5
0,-1.2207004806465926,0.0,25.0,33.0
0,-1.2299952314570313,0.0,25.0,34.25
0,-1.2608562792298117,0.0,25.0,38.75
0,-1.3182498896409367,0.0,25.0,48.75
0,-1.438935553396728,0.0,25.0,79.0
0,-1.3010016717691988,0.0,25.0,45.5
0,-1.4817315064926027,0.0,25.0,93.75
0,1.8791451604304337,0.0,92.5,132.75
0,-0.20724487509026668,0.0,47.5,68.75
0,-1.444413080805664,0.0,25.0,80.75
0,6.20920166781746,0.0,87.5,155.75
0,-0.4872143199521295,0.0,47.5,122.5
0,-1.2090704767378695,0.0,25.0,31.5
0,-1.1862330320908125,0.0,25.0,28.75
0,-1.2687934538084567,0.0,25.0,40.0
0,-1.1658597735280167,0.0,25.0,26.5
0,-1.324579341637009,0.0,25.0,50.0
0,-1.2687934538084567,0.0,25.0,40.0
0,-1.4436378863861021,0.0,25.0,80.5
0,-1.245901655427084,0.0,25.0,36.5
0,-1.2687934538084567,0.0,25.0,40.0
0,10.676499558294193,0.0,82.5,164.25
0,-1.2207004806465926,0.0,25.0,33.0
0,-1.3156725472262214,0.0,25.0,48.25
0,-1.3208009321844971,0.0,25.0,49.25
0,-0.307747779793645,0.0,47.5,83.75
0,-1.2168836126138955,0.0,25.0,32.5
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.2441834356051436,0.0,25.0,36.25
0,-1.3023715382103553,0.0,25.0,45.75
0,-1.2509865764863648,0.0,25.0,37.25
0,20.24311636238102,0.0,72.5,92.5
0,3.957460946762386,0.0,90.0,156.5
0,-1.1947808732778824,0.0,25.0,29.75
0,-1.2110467716146478,0.0,25.0,31.75
0,-0.3488437438204668,0.0,47.5,92.25
0,-1.2839496092625655,0.0,25.0,42.5
0,-1.5199832987738975,0.0,25.0,109.25
0,14.146806643764261,0.0,77.5,454.75
0,-1.452035622495111,0.0,25.0,83.25
0,-1.3182498896409367,0.0,25.0,48.75
0,-0.22351077342703207,0.0,47.5,70.75
0,-1.271899083808096,0.0,25.0,40.5
0,-1.1682072086154764,0.0,25.0,26.75
0,19.86193229055658,0.0,72.5,133.25
0,-1.3495406753794381,0.0,25.0,55.25
0,-1.2207004806465926,0.0,25.0,33.0
0,-1.3495406753794381,0.0,25.0,55.25
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.1562432033210677,0.0,25.0,25.5
0,-1.235410605652326,0.0,25.0,35.0
0,-1.3182498896409367,0.0,25.0,48.75
0,-1.1562432033210677,0.0,25.0,25.5
0,-1.3182498896409367,0.0,25.0,48.75
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.2299952314570313,0.0,25.0,34.25
0,-1.2940374331434572,0.0,25.0,44.25
0,-1.1634900875393808,0.0,25.0,26.25
0,-1.3156725472262214,0.0,25.0,48.25
0,-1.3711992333726637,0.0,25.0,60.25
0,-1.2110467716146478,0.0,25.0,31.75
0,-1.214953101090418,0.0,25.0,32.25
0,20.181430135038745,0.0,72.5,97.5
0,-1.1947808732778824,0.0,25.0,29.75
0,-1.2207004806465926,0.0,25.0,33.0
0,-1.2687934538084567,0.0,25.0,40.0
0,-1.3156725472262214,0.0,25.0,48.25
0,-1.3130683570116575,0.0,25.0,47.75
0,-1.1796247178237735,0.0,25.0,28.0
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.4284332013773422,0.0,25.0,75.75
0,-1.3182498896409367,0.0,25.0,48.75
0,21.87982018537869,0.0,70.0,168.75
0,-1.2996242578164565,0.0,25.0,45.25
0,-1.1796247178237735,0.0,25.0,28.0
0,-1.497240354222466,0.0,25.0,99.75
0,-1.2207004806465926,0.0,25.0,33.0
0,-1.1384692229001352,0.0,25.0,23.75
0,-1.3023715382103553,0.0,25.0,45.75
0,13.254047412203104,0.0,80.0,115.25
0,-1.2110467716146478,0.0,25.0,31.75
0,-1.3517929428650297,0.0,25.0,55.75
0,-1.3495406753794381,0.0,25.0,55.25
0,-1.1926711561164163,0.0,25.0,29.5
0,-1.1682072086154764,0.0,25.0,26.75
0,-1.5439668175264403,0.0,25.0,120.25
0,8.54396752584751,0.0,85.0,149.75
0,-1.2687934538084567,0.0,25.0,40.0
0,-1.4267775661872188,0.0,25.0,75.25
